datetime,enterococcus_mpn_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2019-05-21T07:35:00Z,1,Kenai Gull Rookery 1,7.222222222222222,NA,NA,8.4,5.638800000000001,17.702784,0,NA
2019-06-04T06:57:00Z,6,Kenai Gull Rookery 1,10.555555555555555,NA,NA,9.3,5.315712,4.828032,270,NA
2019-06-11T10:51:00Z,20,Kenai Gull Rookery 1,15,NA,NA,11,4.858512,17.702784,270,NA
2019-06-18T07:43:00Z,23,Kenai Gull Rookery 1,NA,NA,NA,11.5,NA,NA,NA,NA
2019-07-02T05:55:00Z,34,Kenai Gull Rookery 1,10.555555555555555,NA,NA,14.7,4.788408,0,NA,NA
2019-07-09T09:11:00Z,13,Kenai Gull Rookery 1,16.666666666666668,NA,NA,17.8,5.556504,12.874752,270,NA
2019-07-17T07:50:00Z,1,Kenai Gull Rookery 1,12.222222222222221,NA,NA,13.1,4.968240000000001,8.04672,90,NA
2019-07-23T10:20:00Z,2,Kenai Gull Rookery 1,16.11111111111111,NA,NA,15,4.25196,24.14016,270,NA
2019-08-01T08:25:00Z,5,Kenai Gull Rookery 1,12.777777777777777,NA,NA,NA,5.614416000000001,11.265408,270,NA
2019-08-06T09:10:00Z,10,Kenai Gull Rookery 1,18.333333333333332,NA,NA,15.9,6.702552,19.312128,180,NA
2019-08-20T08:55:00Z,6,Kenai Gull Rookery 1,NA,NA,NA,9.8,5.443728,4.828032,NA,NA
2019-09-04T09:14:00Z,73,Kenai Gull Rookery 1,14,NA,NA,13.5,7.296912000000001,8.04672,NA,NA
2020-06-04T05:52:00Z,10,Kenai Gull Rookery 1,7.2,NA,NA,9.5,1.7861280000000002,20.374295040000003,170,NA
2020-06-09T08:02:00Z,3,Kenai Gull Rookery 1,8,NA,NA,9.4,1.4721840000000002,11.120567040000001,230,NA
2020-06-18T06:00:00Z,4,Kenai Gull Rookery 1,7,NA,NA,12.4,2.185416,5.552236800000001,30,NA
2020-06-23T08:25:00Z,13,Kenai Gull Rookery 1,11,NA,NA,11.7,2.7371040000000004,12.971312640000003,170,NA
2020-06-29T10:55:00Z,16,Kenai Gull Rookery 1,13,NA,NA,11.5,1.72212,40.74859008000001,200,NA
2020-07-07T07:11:00Z,18,Kenai Gull Rookery 1,12.2,NA,NA,13.2,2.7675840000000003,0,NA,NA
2020-07-13T10:43:00Z,1,Kenai Gull Rookery 1,16,NA,NA,12.8,NA,12.971312640000003,10,NA
2020-07-20T06:45:00Z,32,Kenai Gull Rookery 1,13,NA,NA,13.1,2.688336,11.120567040000001,180,NA
2020-07-27T09:10:00Z,6,Kenai Gull Rookery 1,15,NA,NA,13.1,1.901952,9.253728,210,NA
2020-08-05T08:25:00Z,11,Kenai Gull Rookery 1,14,NA,NA,14.4,2.700528,9.253728,210,NA
2020-08-18T06:57:00Z,37,Kenai Gull Rookery 1,12,NA,NA,14.5,2.7371040000000004,16.67280384,190,NA
